date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:28:37	67252/67252	---M-Z	200	added ('OK')	text/html	etag:%22106b4-558aa470a1956-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/form-material.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/form-material.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:37	63697/63697	---M-Z	200	added ('OK')	text/html	etag:%22f8d1-556b5252adbf6-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/form-float-input.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/form-float-input.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:37	72314/72314	---M-Z	200	added ('OK')	text/html	etag:%2211a7a-556b525586424-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/form-pickers.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/form-pickers.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:37	61968/61968	---M-Z	200	added ('OK')	text/html	etag:%22f210-556b5256d3824-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/form-upload.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/form-upload.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:38	60991/60991	---M-Z	200	added ('OK')	text/html	etag:%22ee3f-556b52548107b-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/form-mask.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/form-mask.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:38	79898/79898	---M-Z	200	added ('OK')	text/html	etag:%221381a-556b5257c246f-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/form-validation.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/form-validation.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:39	57818/57818	---M-Z	200	added ('OK')	text/html	etag:%22e1da-556b525298c06-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/form-dropzone.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/form-dropzone.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:39	78201/78201	---M-Z	200	added ('OK')	text/html	etag:%2213179-556b525392430-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/form-icheck.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/form-icheck.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:39	86801/86801	---M-Z	200	added ('OK')	text/html	etag:%2215311-556b52539eb68-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/form-img-cropper.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/form-img-cropper.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:39	57969/57969	---M-Z	200	added ('OK')	text/html	etag:%22e271-556b5251ec63a-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/form-bootstrapwysihtml5.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/form-bootstrapwysihtml5.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
